region,Date,type,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags
St. Louis,2020-01-06 0:00,Organic,2.07,7833.62,1229.32,2310.66,0,4293.64,2039.26,2254.38,0
Syracuse,2020-01-06 0:00,Organic,1.17,4228.66,86.67,83.77,0,4058.22,990.95,3067.27,0
Tampa,2020-01-06 0:00,Organic,1.15,9233.65,165.09,3,0,9065.56,9065.56,0,0
Total U.S.,2020-01-06 0:00,Organic,1.4,1661847.67,111735.11,180465.83,3006.45,1366605,1060725.23,305796.57,83.2
West,2020-01-06 0:00,Organic,1.51,274540.27,23699.1,35818.42,469.71,214553.04,170725.09,43744.75,83.2
West Tex/New Mexico,2020-01-06 0:00,Organic,1.29,25878.23,1716.57,517.78,1298.84,22345.04,20561.19,1783.85,0
Albany,2020-01-12 0:00,Conventional ,0.97,134040.63,3934.24,106147.5,209.81,23749.08,8715.36,13781.5,1252.22
Atlanta,2020-01-12 0:00,Conventional ,0.88,844402.2,372120.95,37790.11,2637.07,431854.07,370512.24,61173.39,168.44
Baltimore/Washington,2020-01-12 0:00,Conventional ,1.26,948410.14,98296.04,412765.32,4715.95,432632.83,263850.85,168535.31,246.67
Boise,2020-01-12 0:00,Conventional ,1.02,141505.85,41313.77,9217.38,1231.79,89742.91,44381.25,34285.52,11076.14
Boston,2020-01-12 0:00,Conventional ,1.27,712912.97,13429.49,439759.93,1387.48,258336.07,149663.12,108292.95,380
Buffalo/Rochester,2020-01-12 0:00,Conventional ,1,215290.66,10160.93,69702.04,338.45,135089.24,95824.35,36928.23,2336.66
California,2020-01-12 0:00,Conventional ,1.1,6950084.14,2080166,942003.48,142502.03,3785412.63,1720900.19,1797140.43,267372.01
Charlotte,2020-01-12 0:00,Conventional ,1.11,333879.89,115483.39,59263.17,2803.73,156329.6,113814.53,42295.26,219.81
Chicago,2020-01-12 0:00,Conventional ,1.36,667264.67,91168.61,201653.97,42938.03,331504.06,167801.21,163519.45,183.4
Cincinnati/Dayton,2020-01-12 0:00,Conventional ,0.74,407672.05,90021.93,13103.61,10048.46,294498.05,271751.84,14820.47,7925.74
Columbus,2020-01-12 0:00,Conventional ,0.74,285629.64,79911.69,11710.44,2031.19,191976.32,164567.04,27167.69,241.59
Dallas/Ft. Worth,2020-01-12 0:00,Conventional ,0.72,1666475.07,657589.73,207742.84,10656.84,790485.66,450864.81,338958.08,662.77
Denver,2020-01-12 0:00,Conventional ,1.07,843040.7,206629.28,103376.22,3909.59,529125.61,203294.84,310622.35,15208.42
Detroit,2020-01-12 0:00,Conventional ,0.8,645737.1,153854.08,39839.62,45375.29,406668.11,379707.18,20315.86,6645.07
Grand Rapids,2020-01-12 0:00,Conventional ,1.43,183161.26,5848.55,64138.62,49148.25,64025.84,48216.69,6114.16,9694.99
Great Lakes,2020-01-12 0:00,Conventional ,0.93,4726454.07,981127.81,673015.44,241973.86,2830336.96,2166106.07,617586.29,46644.6
Harrisburg/Scranton,2020-01-12 0:00,Conventional ,0.98,392328.45,61102.94,185881.78,536.55,144807.18,121206.14,19758.82,3842.22
Hartford/Springfield,2020-01-12 0:00,Conventional ,1.41,357414.94,7798.07,266175.83,634.64,82806.4,56898.48,24190.15,1717.77
Houston,2020-01-12 0:00,Conventional ,0.7,1501410.36,600480.98,226169.56,1302.71,673457.11,307721.52,353461.57,12274.02
Indianapolis,2020-01-12 0:00,Conventional ,0.78,309427.72,85065.04,27665.7,4050.2,192646.78,183240.08,8292.21,1114.49
Jacksonville,2020-01-12 0:00,Conventional ,0.91,296838.69,111435.27,10739.6,1030.15,173633.67,106181.58,67452.09,0
Las Vegas,2020-01-12 0:00,Conventional ,0.96,390807,63853.47,51976.55,705.28,274271.7,79962.12,194298.95,10.63
Los Angeles,2020-01-12 0:00,Conventional ,1.09,3125806.23,929495.05,65983.52,106686.72,2023640.94,1035672.99,765986.23,221981.72
Louisville,2020-01-12 0:00,Conventional ,0.8,153618.29,47379.72,10750.19,218.51,95269.87,75156.83,20107.74,5.3
Miami/Ft. Lauderdale,2020-01-12 0:00,Conventional ,0.9,1243129.55,485948.99,38688.68,4508.81,713983.07,157103.39,556861.91,17.77
Midsouth,2020-01-12 0:00,Conventional ,1.02,4183793.45,1161391.39,861895.98,20223.3,2140282.78,1548896.35,582323.13,9063.3
Nashville,2020-01-12 0:00,Conventional ,0.8,292711.82,114278.28,7937.44,652.81,169843.29,146086.41,23408.34,348.54
New Orleans/Mobile,2020-01-12 0:00,Conventional ,0.82,366937.73,183926.84,18366.07,408,164236.82,112065.29,44188.2,7983.33
New York,2020-01-12 0:00,Conventional ,1.35,1903612.81,33900.28,1014009.73,10300.69,843950.13,572143.42,266543.38,5263.33
Northeast,2020-01-12 0:00,Conventional ,1.21,5687105.5,267172.78,3142613.7,16292.63,2259574.41,1466426.1,766878.31,26270
Northern New England,2020-01-12 0:00,Conventional ,1.14,568595.44,8995.86,427426.93,275.58,131897.07,26763.69,104230.04,903.34
Orlando,2020-01-12 0:00,Conventional ,0.89,694537.68,271593.6,16784.15,4421.98,401737.95,109844.46,291890.16,3.33
Philadelphia,2020-01-12 0:00,Conventional ,1.16,619887.76,23812.85,311515.25,1537.43,283022.23,220758.85,57461.16,4802.22
Phoenix/Tucson,2020-01-12 0:00,Conventional ,0.68,1634363.86,564892.66,259827.18,5325.75,804318.27,204252.6,600036.36,29.31
Pittsburgh,2020-01-12 0:00,Conventional ,0.96,164531.75,58094.52,10231.91,578.1,95627.22,40112.21,55508.35,6.66
Plains,2020-01-12 0:00,Conventional ,1.02,2316308.22,939605.26,462153.93,19078.03,895471,667953.94,169857.6,57659.46
Portland,2020-01-12 0:00,Conventional ,1.01,883330.82,68448.3,139837.4,4618.47,670426.65,291028.81,354099.97,25297.87
Raleigh/Greensboro,2020-01-12 0:00,Conventional ,1.07,419458.91,141189.97,63114.51,5028.83,210125.6,136326.73,73798.87,0
Richmond/Norfolk,2020-01-12 0:00,Conventional ,0.89,362789.16,105287.81,57301.96,1249.42,198949.97,156402.59,42127.38,420
Roanoke,2020-01-12 0:00,Conventional ,0.8,233067.94,71208.96,24471.22,63.71,137324.05,104593.21,32517.51,213.33
Sacramento,2020-01-12 0:00,Conventional ,1.2,543009.72,168802.44,199058.96,3190.24,171958.08,76874.73,90888.16,4195.19
San Diego,2020-01-12 0:00,Conventional ,1.05,591414.23,108558.77,25763.93,9620.63,447470.9,209355.5,236592.33,1523.07
San Francisco,2020-01-12 0:00,Conventional ,1.17,1043794.72,307874.92,288178.81,4931.63,442809.36,123073.26,313754.66,5981.44
Seattle,2020-01-12 0:00,Conventional ,1.3,804411.53,73007.54,132163.39,1514.24,597726.36,255448.37,341765.39,512.6
South Carolina,2020-01-12 0:00,Conventional ,0.97,532531.3,207443.79,50098.42,1718.33,273270.76,203612.47,69021.63,636.66
South Central,2020-01-12 0:00,Conventional ,0.76,7817259.43,3140424.45,960514.54,116391.72,3599928.72,1977884.57,1531260.37,90783.78
Southeast,2020-01-12 0:00,Conventional ,0.9,6501470.18,2676011.65,262363.37,21512.79,3541582.37,1645930.79,1884309.58,11342
Spokane,2020-01-12 0:00,Conventional ,1.11,121910.14,17230.22,16545.99,113.3,88020.63,46850.74,41117.35,52.54
St. Louis,2020-01-12 0:00,Conventional ,1.13,198308.63,99654.91,9757.81,631.77,88264.14,72845.39,6835.6,8583.15
Syracuse,2020-01-12 0:00,Conventional ,0.99,102508.91,3486.36,47438.09,74,51510.46,32655.35,17055.11,1800
Tampa,2020-01-12 0:00,Conventional ,0.89,739108.24,265846.04,20670.83,2238,450353.37,101732.85,348620.52,0
Total U.S.,2020-01-12 0:00,Conventional ,0.97,46524778.83,13223759.25,8444074.44,627869.92,24227623.24,13241643.55,10377040.43,608939.26
West,2020-01-12 0:00,Conventional ,0.95,8342303.66,1977859.92,1139513.99,49895.57,5175034.18,2047545.41,3027684.69,99804.08
West Tex/New Mexico,2020-01-12 0:00,Conventional ,0.83,1036010.46,363081.94,62107.29,62042.89,548778.34,264735.78,282487.62,1554.94
Albany,2020-01-12 0:00,Organic,1.48,2441.56,25.89,209.19,0,2206.48,974.05,1232.43,0
Atlanta,2020-01-12 0:00,Organic,1.23,37789.06,165.65,4420.06,0,33203.35,17844.09,15359.26,0
Baltimore/Washington,2020-01-12 0:00,Organic,1.24,47889.12,233.32,3970.32,18.59,43666.89,42666.78,1000.11,0
Boise,2020-01-12 0:00,Organic,1.62,4308.86,6.69,599.67,0,3702.5,2173.57,1528.93,0
Boston,2020-01-12 0:00,Organic,1.61,26799.1,45.08,1420.61,0,25333.41,19780.82,5552.59,0
Buffalo/Rochester,2020-01-12 0:00,Organic,1.13,11568.34,589.81,175.08,0,10803.45,2515.19,8288.26,0
California,2020-01-12 0:00,Organic,1.83,316541.21,29175.55,16856.82,0,270508.84,212195.56,58313.28,0
Charlotte,2020-01-12 0:00,Organic,1.66,13131.17,13.35,3780.85,71.86,9265.11,4520.35,4744.76,0
Chicago,2020-01-12 0:00,Organic,1.54,111494.93,1927.63,14216.71,0,95350.59,91791.56,3559.03,0
Cincinnati/Dayton,2020-01-12 0:00,Organic,1.08,24158.49,119.21,3448.59,0,20590.69,5940.61,14650.08,0
Columbus,2020-01-12 0:00,Organic,1.17,17117.41,442.75,1891.56,0,14783.1,7839.49,6943.61,0
Dallas/Ft. Worth,2020-01-12 0:00,Organic,1.29,37496.97,3554.67,76.76,350.79,33514.75,21078.08,12436.67,0
Denver,2020-01-12 0:00,Organic,1.05,175557.89,29102.47,2712.47,7.1,143735.85,143030.68,705.17,0
Detroit,2020-01-12 0:00,Organic,1.35,34817.3,1652.65,4019.23,0,29142.49,12863.85,16278.64,0
Grand Rapids,2020-01-12 0:00,Organic,1.24,8352.56,10.87,1585.57,0,6756.12,6712.27,43.85,0
Great Lakes,2020-01-12 0:00,Organic,1.34,300004.17,7315.27,35011.14,46.26,257602.48,190024.71,67577.77,0
Harrisburg/Scranton,2020-01-12 0:00,Organic,1.06,17591.57,533.12,289.61,0,16768.84,16435.84,333,0
Hartford/Springfield,2020-01-12 0:00,Organic,2.04,12158.92,623.19,6726.4,0,4809.33,4725.83,83.5,0
Houston,2020-01-12 0:00,Organic,1.53,21093.88,6518.18,26.8,0,14548.9,14548.9,0,0
Indianapolis,2020-01-12 0:00,Organic,1.13,11253.5,249.23,1188.12,0,9816.15,5430.87,4385.28,0
Jacksonville,2020-01-12 0:00,Organic,1.2,3146.34,64.78,175.45,0,2906.11,2891.11,15,0
Las Vegas,2020-01-12 0:00,Organic,1.36,12324.71,1319.86,470.01,0,10534.84,9141.19,1393.65,0
Los Angeles,2020-01-12 0:00,Organic,1.78,151586.44,15641.55,1962.3,0,133982.59,98496.8,35485.79,0
Louisville,2020-01-12 0:00,Organic,1.05,8423.95,0,968.7,0,7455.25,4102.97,3352.28,0
Miami/Ft. Lauderdale,2020-01-12 0:00,Organic,1.18,11472.65,520.85,2.91,0,10948.89,10948.89,0,0
Midsouth,2020-01-12 0:00,Organic,1.34,219745.34,1021.41,29845.14,291.67,188587.12,138326.69,50260.43,0
Nashville,2020-01-12 0:00,Organic,1.22,18870.64,34.51,1826.84,0,17009.29,7822.15,9187.14,0
New Orleans/Mobile,2020-01-12 0:00,Organic,1.28,3692.22,69.79,0,0,3622.43,3622.43,0,0
New York,2020-01-12 0:00,Organic,1.59,93522.32,25244.34,13958.89,484.33,53834.76,49162.11,4672.65,0
Northeast,2020-01-12 0:00,Organic,1.46,272979.89,35520.83,33468.94,420.63,203569.49,156331.54,47237.95,0
Northern New England,2020-01-12 0:00,Organic,1.5,27335.89,97.73,615.73,0,26622.43,13358.72,13263.71,0
Orlando,2020-01-12 0:00,Organic,1.13,9914.56,124.56,0,0,9790,9790,0,0
Philadelphia,2020-01-12 0:00,Organic,1.37,32591.73,2807.76,4687.02,0,25096.95,21855.05,3241.9,0
Phoenix/Tucson,2020-01-12 0:00,Organic,1.39,22069.14,2243.67,1255.16,0,18570.31,16459.82,2110.49,0
Pittsburgh,2020-01-12 0:00,Organic,1.19,14351.94,1757.76,8.22,0,12585.96,12585.96,0,0
Plains,2020-01-12 0:00,Organic,1.29,61166.56,4851.98,5445.32,12.95,50856.31,42508.35,8347.96,0
Portland,2020-01-12 0:00,Organic,1.59,40775.29,196.94,7128.18,0,33450.17,13024.79,20352.54,72.84
Raleigh/Greensboro,2020-01-12 0:00,Organic,2.08,14694.23,206.66,3682.27,94.82,10710.48,8726.24,1984.24,0
Richmond/Norfolk,2020-01-12 0:00,Organic,1.21,20628.64,41,2239.67,9.25,18338.72,14336.84,4001.88,0
Roanoke,2020-01-12 0:00,Organic,1.05,16050.51,33.8,1789.98,0,14226.73,7990.62,6236.11,0
Sacramento,2020-01-12 0:00,Organic,1.73,14862.41,1978.13,2523.62,0,10360.66,10354.41,6.25,0
San Diego,2020-01-12 0:00,Organic,1.8,34982.33,1139.06,1023.82,0,32819.45,18255.88,14563.57,0
San Francisco,2020-01-12 0:00,Organic,2.03,52045.62,5607.84,5382.79,0,41054.99,40969.59,85.4,0
Seattle,2020-01-12 0:00,Organic,1.81,41949.49,235.35,7606.24,4.01,34103.89,14382.52,19721.37,0
South Carolina,2020-01-12 0:00,Organic,1.51,18172.64,246.69,3480.47,52.07,14393.41,10765.49,3627.92,0
South Central,2020-01-12 0:00,Organic,1.35,152589.59,17136.21,2151.7,3055.56,130246.12,96344.6,33901.52,0
Southeast,2020-01-12 0:00,Organic,1.24,144286.9,1791.42,13031.03,55.62,129408.83,98627.86,30780.97,0
Spokane,2020-01-12 0:00,Organic,1.37,4438.6,55.3,1008.13,0,3375.17,1810.76,1564.41,0
St. Louis,2020-01-12 0:00,Organic,1.95,8091.67,1095.71,2084.13,0,4911.83,2833.33,2078.5,0
Syracuse,2020-01-12 0:00,Organic,1.2,4401.25,168.26,93.78,0,4139.21,954.87,3184.34,0
Tampa,2020-01-12 0:00,Organic,1.15,10241.99,214.22,0,0,10027.77,10027.77,0,0
Total U.S.,2020-01-12 0:00,Organic,1.41,1960946.8,152181.51,164251.09,4714.51,1639770.67,1282533.77,357168.72,68.18
West,2020-01-12 0:00,Organic,1.26,493633.15,55368.84,28441.01,831.82,408991.48,348174.48,60748.82,68.18
West Tex/New Mexico,2020-01-12 0:00,Organic,1.34,24120.9,1187.01,617.72,2043.99,20272.18,18689.79,1582.39,0
Albany,2020-01-19 0:00,Conventional ,1.03,158753.71,5475.8,127139.63,319.44,25818.84,10230.82,14368.02,1220
Atlanta,2020-01-19 0:00,Conventional ,0.88,824648.09,381041.13,34983.18,3683.86,404939.92,351862.68,52910.96,166.28
Baltimore/Washington,2020-01-19 0:00,Conventional ,1.23,1077672.01,120998.35,443795.34,4901.79,507976.53,350912.36,156830.84,233.33
