region,Date,type,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags
Hartford/Springfield,2018-01-01 0:00,Conventional,1.42,245203.25,4805.09,183945.55,178.97,56273.64,48824.63,7447.45,1.56
Houston,2018-01-01 0:00,Conventional,0.78,1391181.63,564063.25,209000.62,4194.25,613923.51,527743.84,86179.67,0
Indianapolis,2018-01-01 0:00,Conventional,0.96,205202.95,67904.72,57394.76,13768.33,66135.14,59516.58,6575.66,42.9
Jacksonville,2018-01-01 0:00,Conventional,1.12,206562.78,115793.69,14230.19,277.37,76261.53,29166.63,46858.23,236.67
Las Vegas,2018-01-01 0:00,Conventional,1.04,291922.57,57663.71,111439.26,6018.29,116801.31,49190.85,67480.46,130
Los Angeles,2018-01-01 0:00,Conventional,0.88,3212261.75,1368619.91,755743.47,75509.63,1012388.74,959746.82,14343.09,38298.83
Louisville,2018-01-01 0:00,Conventional,0.87,117941.49,26048.65,34289.02,270.75,57333.07,37617.67,19711.15,4.25
Miami/Ft. Lauderdale,2018-01-01 0:00,Conventional,1.17,728998.69,499352.88,74265.81,3057.2,152322.8,72698.98,79623.82,0
Midsouth,2018-01-01 0:00,Conventional,0.96,3777193.46,937259.75,1398684.02,29457.57,1411792.12,1246593.68,163761.83,1436.61
Nashville,2018-01-01 0:00,Conventional,0.81,258729.83,159028.54,10137.8,177.54,89385.95,70278.2,18477.36,630.39
New Orleans/Mobile,2018-01-01 0:00,Conventional,1.06,262281.64,164147.55,23239.77,1336.79,73557.53,61080.44,11333.76,1143.33
New York,2018-01-01 0:00,Conventional,1.33,1201219.44,36680.16,816261.84,445.17,347832.27,269325.19,78507.08,0
Northeast,2018-01-01 0:00,Conventional,1.31,3652549.7,235982.42,2537022.88,7412.85,872131.55,658153.52,213974.56,3.47
Northern New England,2018-01-01 0:00,Conventional,1.13,513318.77,12055.64,455794.95,1957.91,43510.27,16181.54,27328.73,0
Orlando,2018-01-01 0:00,Conventional,1.16,461913.85,314324.12,38867.01,665.33,108057.39,56521.08,51536.31,0
Philadelphia,2018-01-01 0:00,Conventional,1.35,334783.58,17238.97,210750.82,276.38,106517.41,79090.96,27426.45,0
Phoenix/Tucson,2018-01-01 0:00,Conventional,0.75,986474.74,422070.44,283040.88,12415.52,268947.9,173098.72,93945.85,1903.33
Pittsburgh,2018-01-01 0:00,Conventional,1.01,150867.12,76689.8,30458.87,2273.44,41445.01,28145.83,13299.18,0
Plains,2018-01-01 0:00,Conventional,1.02,2173591.74,1159470.84,493193.16,5719.66,515208.08,417190.3,97986.16,31.62
Portland,2018-01-01 0:00,Conventional,0.89,614950.95,93210.19,250586.4,16024.9,255129.46,204432.64,50366.11,330.71
Raleigh/Greensboro,2018-01-01 0:00,Conventional,0.92,419590.58,90432.19,134861.05,5994.91,188302.43,178330.99,9970.33,1.11
Richmond/Norfolk,2018-01-01 0:00,Conventional,0.83,315463.87,101602.77,102532.75,1995.65,109332.7,97601.86,11720.6,10.24
Roanoke,2018-01-01 0:00,Conventional,0.81,194627.58,63533.54,44810.59,99.22,86184.23,64304.28,21865.75,14.2
Sacramento,2018-01-01 0:00,Conventional,1.03,578374.5,130774.36,396250.81,922.03,50427.3,46215.9,521.92,3689.48
San Diego,2018-01-01 0:00,Conventional,0.98,619699.65,199514.36,268431.96,15509.5,136243.83,129566.1,4704.4,1973.33
San Francisco,2018-01-01 0:00,Conventional,0.92,1174818.67,174144.97,860294.61,1733.53,138645.56,136909.07,32.99,1703.5
Seattle,2018-01-01 0:00,Conventional,1.1,559149.89,167408.78,182686.49,699.05,208355.57,161594.74,46404.85,355.98
South Carolina,2018-01-01 0:00,Conventional,0.99,460716.58,210307.64,80809.78,3034.55,166564.61,124648,41191.56,725.05
South Central,2018-01-01 0:00,Conventional,0.85,6150665.32,2819105.97,1288524.97,22204.28,2020830.1,1456270.21,563984.42,575.47
Southeast,2018-01-01 0:00,Conventional,1.08,4651107.62,2795828.19,448136.41,12621.43,1394521.59,807942.12,571443.81,15135.66
Spokane,2018-01-01 0:00,Conventional,0.94,98086.34,30325.05,36245.2,501.63,31014.46,24405.56,6544.94,63.96
St. Louis,2018-01-01 0:00,Conventional,1.14,192170.15,96909.29,6606.57,263.96,88390.33,67703.51,20686.82,0
Syracuse,2018-01-01 0:00,Conventional,1.39,59077.02,2596.63,41694.13,23.2,14763.06,11544.79,3218.27,0
Tampa,2018-01-01 0:00,Conventional,1.16,548933.38,364499.92,55831.33,610.57,127991.56,59003.18,68988.38,0
West,2018-01-01 0:00,Conventional,0.94,6330634.55,1789024.92,2089553.44,91527.19,2360529,1117482.22,1235496.72,7550.06
West Tex/New Mexico,2018-01-01 0:00,Conventional,0.89,727024.03,347248.16,158559.97,5628.28,215587.62,78402.09,137088.87,96.66
Total U.S.,2018-01-01 0:00,Conventional,0.98,38267341.61,13109617.49,13197460.59,644837.54,11315425.99,8092355.2,3098373.91,124696.88
Total U.S.,2018-01-07 0:00,Conventional,1.13,36703156.72,13730992.75,10781339.21,677714.86,11513109.9,8231766.23,3130919.1,150424.57
Albany,2018-01-07 0:00,Conventional,1.13,98540.22,2940.63,76192.61,42.63,19364.35,8633.09,10707.93,23.33
Atlanta,2018-01-07 0:00,Conventional,0.98,713915.8,364463.12,47869.41,1459.65,300123.62,217644.43,78287.66,4191.53
Baltimore/Washington,2018-01-07 0:00,Conventional,1.5,771313.78,89883.07,466602.79,4167.07,210660.85,189304.53,21356.32,0
Boise,2018-01-07 0:00,Conventional,1.3,85697.65,45936.53,2658.28,7511.15,29591.69,21784.14,7752.83,54.72
Boston,2018-01-07 0:00,Conventional,1.28,685417.51,12012.96,557314.83,4961.24,111128.48,58834.32,52294.16,0
Buffalo/Rochester,2018-01-07 0:00,Conventional,1.28,161876.76,8645.3,92302.56,56.67,60872.23,12248.04,48624.19,0
California,2018-01-07 0:00,Conventional,1.19,5756632.36,2350838.88,1704810.36,135053.06,1565930.06,1465321.32,25951.12,74657.62
Charlotte,2018-01-07 0:00,Conventional,1.36,243301.08,69157.01,80320.79,4915.1,88908.18,84280.34,4627.84,0
Chicago,2018-01-07 0:00,Conventional,1.5,842141.42,132853.21,475772.58,139314.8,94200.83,85019.84,9161.86,19.13
Cincinnati/Dayton,2018-01-07 0:00,Conventional,0.91,303592.92,98045.53,37713.62,18889.29,148944.48,130642.78,18046.8,254.9
Columbus,2018-01-07 0:00,Conventional,0.84,256757.6,112638.98,32262.19,4167.93,107688.5,89971.36,17360.9,356.24
Dallas/Ft. Worth,2018-01-07 0:00,Conventional,0.92,1140210.38,587439.51,258369.66,5543.59,288857.62,183640.29,104915.08,302.25
Denver,2018-01-07 0:00,Conventional,1.01,963849.75,184830.15,292349.16,14102.19,472568.25,112396.9,360171.35,0
Detroit,2018-01-07 0:00,Conventional,0.92,512142.96,164665.38,81248.88,23315.8,242912.9,195595.55,45090.53,2226.82
Grand Rapids,2018-01-07 0:00,Conventional,1.35,169476.04,2865.76,75494.46,45133.04,45982.78,29085.45,3455.76,13441.57
Great Lakes,2018-01-07 0:00,Conventional,1.11,4123104.83,1112028.17,1238992.5,350648.99,1421435.17,1154910.93,230241.31,36282.93
Harrisburg/Scranton,2018-01-07 0:00,Conventional,1.33,257281.38,57546.66,128633.39,70.97,71030.36,57822.58,13207.78,0
Hartford/Springfield,2018-01-07 0:00,Conventional,1.52,283678.88,5732.13,214934.82,136.28,62875.65,49441.07,13434.58,0
Houston,2018-01-07 0:00,Conventional,0.8,1390616.83,658828.73,171364.98,3656.03,556767.09,446637.02,110130.07,0
Indianapolis,2018-01-07 0:00,Conventional,0.95,241296.05,77536.48,52880.27,15323.48,95555.82,88828.8,6694.44,32.58
Jacksonville,2018-01-07 0:00,Conventional,1.2,197919.4,116008.83,13934.03,395.16,67581.38,26811.45,40448.82,321.11
Las Vegas,2018-01-07 0:00,Conventional,1.05,345809.34,78921.42,113033.07,7515.77,146339.08,60836.42,85049.33,453.33
Los Angeles,2018-01-07 0:00,Conventional,1.04,2725856.44,1275098.12,354221.03,91230.73,1005306.56,940327.03,18317.46,46662.07
Louisville,2018-01-07 0:00,Conventional,1,118958.8,29241.59,37772.39,170.77,51774.05,32655.63,19115.6,2.82
Miami/Ft. Lauderdale,2018-01-07 0:00,Conventional,1.22,746903.16,513398.84,68558.71,1946.21,162999.4,75200.98,87798.42,0
Midsouth,2018-01-07 0:00,Conventional,1.2,3437632.8,998436.07,1224229.25,24958.08,1190009.4,1033913.96,152674.33,3421.11
Nashville,2018-01-07 0:00,Conventional,0.85,303963.18,167628.98,10026.09,409.67,125898.44,108075.96,16240.96,1581.52
New Orleans/Mobile,2018-01-07 0:00,Conventional,1.15,295941.23,183343.94,30856.25,2514.49,79226.55,64892.6,13346.17,987.78
New York,2018-01-07 0:00,Conventional,1.67,1287480.31,39884.07,866953.05,573.69,380069.5,348249.49,31820.01,0
Northeast,2018-01-07 0:00,Conventional,1.43,4230002.92,241291.93,2868985.89,12579.51,1107145.59,769968.02,337149.02,28.55
Northern New England,2018-01-07 0:00,Conventional,1.17,502851.14,10284.45,394541.74,4357.02,93667.93,23938.29,69729.64,0
Orlando,2018-01-07 0:00,Conventional,1.19,430765.97,288886.48,34311.29,997.66,106570.54,65277.02,41293.52,0
Philadelphia,2018-01-07 0:00,Conventional,1.56,408203.49,22384.92,239185.79,407.29,146225.49,114764.69,31460.8,0
Phoenix/Tucson,2018-01-07 0:00,Conventional,0.89,1025312.59,470698.28,222151.2,14761.13,317701.98,178186.6,134615.38,4900
Pittsburgh,2018-01-07 0:00,Conventional,1.3,110929.77,40579.4,24117.63,1241.27,44991.47,36998.3,7993.17,0
Plains,2018-01-07 0:00,Conventional,1.17,2103531.72,1026303.18,570087.19,6096.19,501045.16,384809.96,116197.07,38.13
Portland,2018-01-07 0:00,Conventional,1.22,567488.01,107127.71,220686.01,14535.35,225138.94,156850.43,67977.85,310.66
Raleigh/Greensboro,2018-01-07 0:00,Conventional,1.3,317209.9,113445.48,103827.25,5071.98,94865.19,90848.07,4017.12,0
Richmond/Norfolk,2018-01-07 0:00,Conventional,1.03,300234.79,96040.45,94172.95,1657.28,108364.11,99730.22,8633.89,0
Roanoke,2018-01-07 0:00,Conventional,0.93,203482.84,57981.46,48543.26,161.75,96796.37,80678.76,16101.64,15.97
Sacramento,2018-01-07 0:00,Conventional,1.35,465108.34,159862.75,247999,1045.98,56200.61,49386.35,522.37,6291.89
San Diego,2018-01-07 0:00,Conventional,1.18,464720.86,192510.16,118483.12,19625.38,134102.2,125040.09,6169.89,2892.22
San Francisco,2018-01-07 0:00,Conventional,1.46,818086.25,209267.23,466935.74,2525.01,139358.27,136440.18,104.56,2813.53
Seattle,2018-01-07 0:00,Conventional,1.43,474305.15,116665.02,133127.64,1132.42,223380.07,164408.65,58738.83,232.59
South Carolina,2018-01-07 0:00,Conventional,1.19,402919.29,201490.47,64214.46,3089.49,134124.87,104998.57,26809.64,2316.66
South Central,2018-01-07 0:00,Conventional,0.9,6148732.19,3191091.1,1064902.97,24586.38,1868151.74,1373791.28,493580,780.46
Southeast,2018-01-07 0:00,Conventional,1.14,4544750.92,2749042.52,402798.53,15351.11,1377558.76,873160.78,483913.55,20484.43
Spokane,2018-01-07 0:00,Conventional,1.18,85027.89,27224.55,21852.06,487.93,35463.35,27270.42,8169.06,23.87
St. Louis,2018-01-07 0:00,Conventional,1.34,171869.94,93054.39,13758.41,541.05,64516.09,53120.31,11395.78,0
Syracuse,2018-01-07 0:00,Conventional,1.21,68938.02,3687.73,46420.2,60.09,18770,5075.27,13694.73,0
Tampa,2018-01-07 0:00,Conventional,1.2,484007.91,317536.23,44226.34,1046.81,121198.53,68969.54,52215.66,13.33
West,2018-01-07 0:00,Conventional,1.08,6358768.95,2061960.91,1706532.52,108441.55,2481833.97,1175889.89,1291212.75,14731.33
West Tex/New Mexico,2018-01-07 0:00,Conventional,0.88,880266.52,436282.38,178669.53,9467.11,255847.5,99686.92,155870.58,290
Total U.S.,2018-01-14 0:00,Conventional,1.2,37299945.22,12600918.24,11866197.84,652808.4,12180020.74,8128241.88,3917569.95,134208.91
Albany,2018-01-14 0:00,Conventional,1.42,95246.38,2897.41,76570.67,44,15734.3,10012.8,5721.5,0
Atlanta,2018-01-14 0:00,Conventional,1.1,670766.04,298975.97,60229.21,1604.9,309955.96,171508.47,134436.39,4011.1
Baltimore/Washington,2018-01-14 0:00,Conventional,1.49,799726.89,91785.6,485963.15,4234.82,217743.32,212956.99,4783,3.33
Boise,2018-01-14 0:00,Conventional,1.15,111113.11,49335.23,7414.97,8298.95,46063.96,19135.96,26830.36,97.64
Boston,2018-01-14 0:00,Conventional,1.49,533150.49,10669.09,393026.08,2533.63,126921.69,81610.31,45311.38,0
Buffalo/Rochester,2018-01-14 0:00,Conventional,1.32,159070.65,8239.41,80916.85,40.26,69874.13,27693.23,42180.9,0
California,2018-01-14 0:00,Conventional,1.27,5927016.73,2098762.55,2356359.93,151045.33,1320848.92,1226559.09,25390.97,68898.86
Charlotte,2018-01-14 0:00,Conventional,1.38,251260.54,60751.23,97094.95,5512.27,87902.09,82964.19,4937.9,0
Chicago,2018-01-14 0:00,Conventional,1.64,762997.53,82376.44,440322.05,134141.55,106157.49,93374.57,12782.92,0
Cincinnati/Dayton,2018-01-14 0:00,Conventional,1.15,243366.13,59620.01,30542.73,19975.22,133228.17,123961.02,9260.42,6.73
Columbus,2018-01-14 0:00,Conventional,1.07,194619.31,77236.77,24462.37,3266.68,89653.49,75499.35,14125.61,28.53
Dallas/Ft. Worth,2018-01-14 0:00,Conventional,0.93,1333180.68,677477.52,316020.36,7862.07,331820.73,240134.19,91381.56,304.98
Denver,2018-01-14 0:00,Conventional,1.1,1003142.47,178992.28,323916.08,11963.62,488270.49,121454.8,366815.69,0
Detroit,2018-01-14 0:00,Conventional,1.18,369628.1,94963.97,60826.16,13812.28,200025.69,162745.09,36032.53,1248.07
Grand Rapids,2018-01-14 0:00,Conventional,1.63,132716.65,2444.54,60928.74,30487.47,38855.9,27912.73,1824.11,9119.06
Great Lakes,2018-01-14 0:00,Conventional,1.31,3437563.27,778207.19,1040627.93,294793.29,1323934.86,1117531.11,183163.55,23240.2
Harrisburg/Scranton,2018-01-14 0:00,Conventional,1.25,277616.71,80067.78,121405.45,189.01,75954.47,62453.61,13500.86,0
Hartford/Springfield,2018-01-14 0:00,Conventional,1.53,289124.31,6006.14,215891.85,128.82,67097.5,60219.1,6878.4,0
Houston,2018-01-14 0:00,Conventional,0.95,1316347.07,548774.22,292561.6,6066.33,468944.92,355573.55,113294.7,76.67
Indianapolis,2018-01-14 0:00,Conventional,1.2,188231.39,42103.61,39886.19,14213.38,92028.21,87576.92,4431.35,19.94
Jacksonville,2018-01-14 0:00,Conventional,1.41,182389.99,105265.46,11039.81,332.17,65752.55,30382.8,34981.97,387.78
Las Vegas,2018-01-14 0:00,Conventional,1.16,322932.06,79986.22,96281.04,7841.07,138823.73,71330.43,67126.63,366.67
Los Angeles,2018-01-14 0:00,Conventional,1.28,2409159.6,1104367.71,403918.08,101443.02,799430.79,739977.4,16783.17,42670.22
Louisville,2018-01-14 0:00,Conventional,1.15,121812.81,12826.43,44061.69,168.9,64755.79,32059.16,32693.81,2.82
Miami/Ft. Lauderdale,2018-01-14 0:00,Conventional,1.46,617912.41,416705.54,53783.64,2713.93,144709.3,81480.75,63228.55,0
Midsouth,2018-01-14 0:00,Conventional,1.28,3537243.04,793349.35,1435754.49,27610.81,1280528.39,1025338.52,251804.63,3385.24
Nashville,2018-01-14 0:00,Conventional,1.04,291320.91,131981.77,22212.81,355.01,136771.32,97153.34,38004.65,1613.33
New Orleans/Mobile,2018-01-14 0:00,Conventional,1.15,290571.66,170097.6,22912.24,2542,95019.82,76659.09,17342.95,1017.78
New York,2018-01-14 0:00,Conventional,1.67,1294149.71,39681.84,818051.5,1338.06,435078.31,415694.04,19384.27,0
Northeast,2018-01-14 0:00,Conventional,1.49,4073408.38,282970.7,2558511.27,8555.47,1223370.94,955649.36,267714.63,6.95
Northern New England,2018-01-14 0:00,Conventional,1.42,419376.62,11067.05,322712.21,2011.52,83585.84,29827.25,53758.59,0
Orlando,2018-01-14 0:00,Conventional,1.4,387588.47,258150.99,26672.33,1199.66,101565.49,68412.96,33152.53,0
Philadelphia,2018-01-14 0:00,Conventional,1.5,419189.36,36351.3,232190.19,443.69,150204.18,126685.84,23512.81,5.53
Phoenix/Tucson,2018-01-14 0:00,Conventional,0.81,1354912.98,628591.78,284087.44,15249.83,426983.93,200603.91,221593.36,4786.66
Pittsburgh,2018-01-14 0:00,Conventional,1.3,117483.82,40292.71,22648.55,1560.23,52982.33,42859.85,10122.48,0
Plains,2018-01-14 0:00,Conventional,1.25,2033823.81,891358.6,572445.19,6526.08,563493.94,436555.79,126910.37,27.78
Portland,2018-01-14 0:00,Conventional,1.06,747864.18,76227.53,252457.95,17693.46,401485.24,99618.49,300591.83,1274.92
Raleigh/Greensboro,2018-01-14 0:00,Conventional,1.29,360772.32,88430.39,138123.95,6178.1,128039.88,119713.01,8326.87,0
Richmond/Norfolk,2018-01-14 0:00,Conventional,1.19,311185.65,76364.47,126208.57,1844.45,106768.16,84944.73,21823.43,0
Roanoke,2018-01-14 0:00,Conventional,1.09,189671.57,35632,58767.29,184.49,95087.79,62260.15,32827.64,0
Sacramento,2018-01-14 0:00,Conventional,1.31,504269.23,144109.69,299605.5,1249.15,59304.89,52486.47,754.65,6063.77
San Diego,2018-01-14 0:00,Conventional,1.41,439652.12,160896.99,136499.29,21680.72,120575.12,113513.51,4689.39,2372.22
San Francisco,2018-01-14 0:00,Conventional,1.21,1117376.99,193892.28,785766.05,2860.37,134858.29,130904.76,944.69,3008.84
Seattle,2018-01-14 0:00,Conventional,1.26,709903.13,109322.06,214002.35,1034.16,385544.56,136005.01,248487.47,1052.08
South Carolina,2018-01-14 0:00,Conventional,1.24,423919.68,190128.64,82399.03,3424.35,147967.66,105934.11,39865.79,2167.76
South Central,2018-01-14 0:00,Conventional,0.96,6514441.7,3135720.11,1470455.24,34008.03,1874258.32,1368263.33,505121.44,873.55
Southeast,2018-01-14 0:00,Conventional,1.31,4198992.14,2371136.88,403224.01,17012.38,1407618.87,845928.49,540110.99,21579.39
Spokane,2018-01-14 0:00,Conventional,1.2,102537.95,25067.66,30621.77,483.2,46365.32,22425.95,23850.96,88.41
St. Louis,2018-01-14 0:00,Conventional,1.36,171192.49,76981.79,12192.94,419.29,81598.47,65370.95,16227.52,0
Syracuse,2018-01-14 0:00,Conventional,1.31,79367.52,3452.94,45825.51,72.86,30016.21,14827.72,15188.49,0
Tampa,2018-01-14 0:00,Conventional,1.41,446629.55,286535.45,36727.96,1153,122213.14,76263.43,45949.71,0
West,2018-01-14 0:00,Conventional,1.05,7577456.14,2249412.86,2028819.77,113257.03,3185966.48,1152416.21,2017353.32,16196.95
West Tex/New Mexico,2018-01-14 0:00,Conventional,0.9,950954.6,463945.73,188126.02,11227.47,287655.38,125408.69,162040.02,206.67
Total U.S.,2018-01-21 0:00,Conventional,1.08,42939821.55,14218843.83,13929702.12,928815.12,13862460.48,9866218.28,3789722.9,206519.3
Albany,2018-01-21 0:00,Conventional,1.69,135196.35,3133.37,116520.88,88.78,15453.32,10023.79,5429.53,0
Atlanta,2018-01-21 0:00,Conventional,1.1,639421.29,288131.95,56731.74,1612.56,292945.04,158655.8,128969.24,5320
Baltimore/Washington,2018-01-21 0:00,Conventional,1.18,1102213.13,129351.87,659069.49,4321.42,309470.35,304382.22,5088.13,0
Boise,2018-01-21 0:00,Conventional,1.25,88727.77,49711.32,2157.11,6343.03,30516.31,22463.22,8026.61,26.48
Boston,2018-01-21 0:00,Conventional,1.12,999783.13,15177.93,865836.92,6492.83,112275.45,85468.78,26806.67,0
Buffalo/Rochester,2018-01-21 0:00,Conventional,1.29,161887.27,8269.77,75965.53,61.69,77590.28,26340.41,51249.87,0
California,2018-01-21 0:00,Conventional,1.12,6610010.64,2378177.09,2590301.7,122950.68,1518581.17,1431898.88,24801.59,61880.7
Charlotte,2018-01-21 0:00,Conventional,1.11,331324.99,74246.57,80371.21,4657.83,172049.38,165016.97,7031.3,1.11
Chicago,2018-01-21 0:00,Conventional,1.42,951648.11,110759.53,473797.46,154585.97,212505.15,79124.15,133370.44,10.56
Cincinnati/Dayton,2018-01-21 0:00,Conventional,0.89,321809.3,92142.87,54830.94,12823.81,162011.68,148818.14,13170.73,22.81
Columbus,2018-01-21 0:00,Conventional,0.99,214353.02,75486.73,52395.54,4298.3,82172.45,63261.5,18897.31,13.64
Dallas/Ft. Worth,2018-01-21 0:00,Conventional,0.85,1437239.09,728035,216211.98,6291.83,486700.28,410340.65,76287.17,72.46
Denver,2018-01-21 0:00,Conventional,1.16,872673.39,147297.68,233968.98,14834.26,476572.47,101867.53,374703.83,1.11
Detroit,2018-01-21 0:00,Conventional,0.96,570161.95,87365.29,220100.47,46163.59,216532.6,146574.63,65171.17,4786.8
Grand Rapids,2018-01-21 0:00,Conventional,1.01,349565.06,2991.23,143928.98,137321.51,65323.34,23516.4,1183.72,40623.22
Great Lakes,2018-01-21 0:00,Conventional,1.08,4824586.17,939693.95,1678615.71,599358.14,1606918.37,1091946.07,411120.89,103851.41
Harrisburg/Scranton,2018-01-21 0:00,Conventional,1.14,345436.84,125847.54,136876.39,168.16,82544.75,79398.89,3142.53,3.33
Hartford/Springfield,2018-01-21 0:00,Conventional,1.18,474554.55,8065.55,407711.57,175.38,58602.05,56135.81,2459.57,6.67
Houston,2018-01-21 0:00,Conventional,0.78,1584416.56,651432.75,153445.45,10598.32,768940.04,683790.27,85149.77,0
Indianapolis,2018-01-21 0:00,Conventional,1.03,233732.16,62385.12,66055.88,11433.91,93857.25,84064.64,9782.65,9.96
Jacksonville,2018-01-21 0:00,Conventional,1.14,231285.04,137389.34,14033.79,444.84,79417.07,34372.62,44668.89,375.56
Las Vegas,2018-01-21 0:00,Conventional,1.05,364155.28,78984.26,100813.61,6256.28,178101.13,69513.95,108140.51,446.67
Los Angeles,2018-01-21 0:00,Conventional,1.15,2653023.23,1230413.83,364552.16,82843.86,975213.38,918833.2,16789.91,39590.27
Louisville,2018-01-21 0:00,Conventional,1.07,119167.18,9137.72,48370.29,699.18,60959.99,34517.5,26442.49,0
Miami/Ft. Lauderdale,2018-01-21 0:00,Conventional,1.19,825835.92,592863.38,79364.06,1920.89,151687.59,84785.47,66902.12,0
Midsouth,2018-01-21 0:00,Conventional,1.13,4022549.75,834676.76,1528592.15,23691.17,1635589.67,1400848.71,232308.25,2432.71
Nashville,2018-01-21 0:00,Conventional,1,273473.62,118667.23,20388.24,309.67,134108.48,95967.09,36876.95,1264.44
New Orleans/Mobile,2018-01-21 0:00,Conventional,1.04,310587.46,192632.7,23240.42,2212.37,92501.97,79583.19,11776.55,1142.23
New York,2018-01-21 0:00,Conventional,1.27,2135242.76,46444.43,1642533.16,1165.1,445100.07,423570.05,21523.99,6.03
Northeast,2018-01-21 0:00,Conventional,1.25,6137752.61,441673.49,4447691.02,16607.82,1231780.28,990188.67,241571.32,20.29
Northern New England,2018-01-21 0:00,Conventional,1.33,577116.22,11506.29,492832.55,3776,69001.38,27451.21,41550.17,0
Orlando,2018-01-21 0:00,Conventional,1.16,482904.74,312991.46,36478.07,1521.7,131913.51,72049.51,59856.21,7.79
Philadelphia,2018-01-21 0:00,Conventional,1.32,527860.09,69862.88,303263.33,383.99,154349.89,144550.12,9797.01,2.76
Phoenix/Tucson,2018-01-21 0:00,Conventional,0.78,1315329.83,613600.56,246703.53,13332.26,441693.48,210780.39,226079.75,4833.34
Pittsburgh,2018-01-21 0:00,Conventional,1.01,183347.37,83017.19,32323.3,2721.64,65285.24,36503.46,28781.78,0
Plains,2018-01-21 0:00,Conventional,1.18,2208596.12,1051836.46,479599.9,7659.28,669500.48,562989.08,106461.22,50.18
Portland,2018-01-21 0:00,Conventional,1.17,608159.45,76804.75,271528.75,18147.81,241678.14,150749.79,90544.14,384.21
Raleigh/Greensboro,2018-01-21 0:00,Conventional,1.12,407825,101929.83,102790.68,4632.9,198471.59,191459.41,7012.18,0
Richmond/Norfolk,2018-01-21 0:00,Conventional,1.12,322272.97,72502.51,112843.42,1772.99,135154.05,112298.65,22855.4,0
Roanoke,2018-01-21 0:00,Conventional,1.11,176001.32,32866.66,52406.08,271.62,90456.96,61172.35,29271.28,13.33
Sacramento,2018-01-21 0:00,Conventional,1.15,591211.37,160917.18,362263.89,1136.97,66893.33,60172.16,1674.44,5046.73
San Diego,2018-01-21 0:00,Conventional,1.26,460708.82,192219.39,122174.21,17624.92,128690.3,121675.53,4729.22,2285.55
San Francisco,2018-01-21 0:00,Conventional,1.01,1301932.95,259497.05,919666.37,2578.69,120190.84,117863.67,80.08,2247.09
Seattle,2018-01-21 0:00,Conventional,1.31,600669.78,125236.3,202783.51,754.76,271895.21,138209.77,133100.87,584.57
South Carolina,2018-01-21 0:00,Conventional,1.1,506254.11,234534.94,77898.32,3486.87,190333.98,138219.59,49325.5,2788.89
South Central,2018-01-21 0:00,Conventional,0.86,7128446.75,3429393.15,931790.87,36818.11,2730444.62,2311921.49,418189.88,333.25
Southeast,2018-01-21 0:00,Conventional,1.14,4954059.33,2925027.75,461260.99,15728.65,1552041.94,879462.33,647625.95,24953.66
Spokane,2018-01-21 0:00,Conventional,1.07,105005.26,24435.65,33395.51,517.34,46656.76,22478.8,24044.51,133.45
